Date,State,18+ Dose 1,18+ Dose 2,18+ Total Doses,15-18 Dose 1,15-18 Dose 2,15-18 Total Doses,12-14 Dose 1,12-14 Dose 2,12-14 Total Doses,18-59 Booster Dose,60+ Booster Dose,Booster Total Doses,Total Doses,Week,Month,Year
2021-02-28,Haryana,221841,71983,293824,0,0,0,0,0,0,0,0,0,293824,WK 09-2021,Feb-2021,2021
2021-02-28,Himachal Pradesh,101504,20924,122428,0,0,0,0,0,0,0,0,0,122428,WK 09-2021,Feb-2021,2021
2021-02-28,Jammu & Kashmir,240817,16255,257072,0,0,0,0,0,0,0,0,0,257072,WK 09-2021,Feb-2021,2021
2021-02-28,Jharkhand,284371,23837,308208,0,0,0,0,0,0,0,0,0,308208,WK 09-2021,Feb-2021,2021
2021-02-28,Karnataka,604954,213768,818722,0,0,0,0,0,0,0,0,0,818722,WK 09-2021,Feb-2021,2021
2021-02-28,Kerala,482445,104866,587311,0,0,0,0,0,0,0,0,0,587311,WK 09-2021,Feb-2021,2021
2021-02-28,Ladakh,9226,829,10055,0,0,0,0,0,0,0,0,0,10055,WK 09-2021,Feb-2021,2021
2021-02-28,Lakshadweep,2368,710,3078,0,0,0,0,0,0,0,0,0,3078,WK 09-2021,Feb-2021,2021
2021-02-28,Madhya Pradesh,650684,160632,811316,0,0,0,0,0,0,0,0,0,811316,WK 09-2021,Feb-2021,2021
2021-02-28,Maharashtra,1041947,160233,1202180,0,0,0,0,0,0,0,0,0,1202180,WK 09-2021,Feb-2021,2021
2021-02-28,Manipur,52420,2545,54965,0,0,0,0,0,0,0,0,0,54965,WK 09-2021,Feb-2021,2021
2021-02-28,Meghalaya,30465,1726,32191,0,0,0,0,0,0,0,0,0,32191,WK 09-2021,Feb-2021,2021
2021-02-28,Mizoram,21997,5659,27656,0,0,0,0,0,0,0,0,0,27656,WK 09-2021,Feb-2021,2021
2021-02-28,Nagaland,29806,5497,35303,0,0,0,0,0,0,0,0,0,35303,WK 09-2021,Feb-2021,2021
2021-02-28,Odisha,460554,158267,618821,0,0,0,0,0,0,0,0,0,618821,WK 09-2021,Feb-2021,2021
2021-02-28,Puducherry,9920,1224,11144,0,0,0,0,0,0,0,0,0,11144,WK 09-2021,Feb-2021,2021
2021-02-28,Punjab,154449,36351,190800,0,0,0,0,0,0,0,0,0,190800,WK 09-2021,Feb-2021,2021
2021-02-28,Rajasthan,798447,224760,1023207,0,0,0,0,0,0,0,0,0,1023207,WK 09-2021,Feb-2021,2021
2021-02-28,Sikkim,16951,1361,18312,0,0,0,0,0,0,0,0,0,18312,WK 09-2021,Feb-2021,2021
2021-02-28,Tamil Nadu,388896,56432,445328,0,0,0,0,0,0,0,0,0,445328,WK 09-2021,Feb-2021,2021
2021-02-28,Telangana,289772,130019,419791,0,0,0,0,0,0,0,0,0,419791,WK 09-2021,Feb-2021,2021
2021-02-28,Tripura,89449,21529,110978,0,0,0,0,0,0,0,0,0,110978,WK 09-2021,Feb-2021,2021
2021-02-28,Uttar Pradesh,1170925,310058,1480983,0,0,0,0,0,0,0,0,0,1480983,WK 09-2021,Feb-2021,2021
2021-02-28,Uttarakhand,142340,19446,161786,0,0,0,0,0,0,0,0,0,161786,WK 09-2021,Feb-2021,2021
2021-02-28,West Bengal,961416,144765,1106181,0,0,0,0,0,0,0,0,0,1106181,WK 09-2021,Feb-2021,2021
2021-03-02,Andaman & Nicobar Island,6581,2556,9137,0,0,0,0,0,0,0,0,0,9137,WK 09-2021,Mar-2021,2021
2021-03-02,Andhra Pradesh,541202,142431,683633,0,0,0,0,0,0,0,0,0,683633,WK 09-2021,Mar-2021,2021
2021-03-02,Arunanchal Pradesh,27572,7309,34881,0,0,0,0,0,0,0,0,0,34881,WK 09-2021,Mar-2021,2021
2021-03-02,Assam,201640,29159,230799,0,0,0,0,0,0,0,0,0,230799,WK 09-2021,Mar-2021,2021
2021-03-02,Bihar,562270,81079,643349,0,0,0,0,0,0,0,0,0,643349,WK 09-2021,Mar-2021,2021
2021-03-02,Chandigarh,22424,1899,24323,0,0,0,0,0,0,0,0,0,24323,WK 09-2021,Mar-2021,2021
2021-03-02,Chhattisgarh,386030,57807,443837,0,0,0,0,0,0,0,0,0,443837,WK 09-2021,Mar-2021,2021
2021-03-02,Dadara & Nagar Havelli,5063,534,5597,0,0,0,0,0,0,0,0,0,5597,WK 09-2021,Mar-2021,2021
2021-03-02,Daman & Diu,2371,287,2658,0,0,0,0,0,0,0,0,0,2658,WK 09-2021,Mar-2021,2021
