Date,State,Confirmed,Recovered,Deaths,State_Code,Active,Week,Month,Year
2020-04-17,Meghalaya,7,0,1,17,6,WK 15-2020,Apr-2020,2020
2020-04-17,Mizoram,1,0,0,15,1,WK 15-2020,Apr-2020,2020
2020-04-17,Nagaland,0,0,0,13,0,WK 15-2020,Apr-2020,2020
2020-04-17,Odisha,60,19,1,21,40,WK 15-2020,Apr-2020,2020
2020-04-17,Puducherry,7,1,0,34,6,WK 15-2020,Apr-2020,2020
2020-04-17,Punjab,186,27,13,3,146,WK 15-2020,Apr-2020,2020
2020-04-17,Rajasthan,1131,164,3,8,964,WK 15-2020,Apr-2020,2020
2020-04-17,Sikkim,0,0,0,11,0,WK 15-2020,Apr-2020,2020
2020-04-17,Tamil Nadu,1267,180,15,33,1072,WK 15-2020,Apr-2020,2020
2020-04-17,Telangana,700,186,18,36,496,WK 15-2020,Apr-2020,2020
2020-04-17,Tripura,2,1,0,16,1,WK 15-2020,Apr-2020,2020
2020-04-17,Uttar Pradesh,805,74,13,9,718,WK 15-2020,Apr-2020,2020
2020-04-17,Uttarakhand,37,9,0,5,28,WK 15-2020,Apr-2020,2020
2020-04-17,West Bengal,255,51,10,19,194,WK 15-2020,Apr-2020,2020
2020-04-18,Andaman & Nicobar Island,12,11,0,35,1,WK 15-2020,Apr-2020,2020
2020-04-18,Andhra Pradesh,603,42,15,28,546,WK 15-2020,Apr-2020,2020
2020-04-18,Arunanchal Pradesh,1,0,0,12,1,WK 15-2020,Apr-2020,2020
2020-04-18,Assam,35,9,1,18,25,WK 15-2020,Apr-2020,2020
2020-04-18,Bihar,85,37,2,10,46,WK 15-2020,Apr-2020,2020
2020-04-18,Chandigarh,21,9,0,4,12,WK 15-2020,Apr-2020,2020
2020-04-18,Chhattisgarh,36,24,0,22,12,WK 15-2020,Apr-2020,2020
2020-04-18,Dadara & Nagar Havelli,0,0,0,26,0,WK 15-2020,Apr-2020,2020
2020-04-18,Daman & Diu,0,0,0,25,0,WK 15-2020,Apr-2020,2020
2020-04-18,NCT of Delhi,1707,72,42,7,1593,WK 15-2020,Apr-2020,2020
2020-04-18,Goa,7,6,0,30,1,WK 15-2020,Apr-2020,2020
2020-04-18,Gujarat,1272,88,48,24,1136,WK 15-2020,Apr-2020,2020
2020-04-18,Haryana,225,43,3,6,179,WK 15-2020,Apr-2020,2020
2020-04-18,Himachal Pradesh,38,16,1,2,21,WK 15-2020,Apr-2020,2020
2020-04-18,Jammu & Kashmir,328,42,5,1,281,WK 15-2020,Apr-2020,2020
2020-04-18,Jharkhand,33,0,2,20,31,WK 15-2020,Apr-2020,2020
2020-04-18,Karnataka,371,92,13,29,266,WK 15-2020,Apr-2020,2020
2020-04-18,Kerala,396,255,3,32,138,WK 15-2020,Apr-2020,2020
2020-04-18,Ladakh,18,14,0,37,4,WK 15-2020,Apr-2020,2020
2020-04-18,Lakshadweep,0,0,0,31,0,WK 15-2020,Apr-2020,2020
2020-04-18,Madhya Pradesh,1355,69,69,23,1217,WK 15-2020,Apr-2020,2020
2020-04-18,Maharashtra,3323,331,201,27,2791,WK 15-2020,Apr-2020,2020
2020-04-18,Manipur,2,1,0,14,1,WK 15-2020,Apr-2020,2020
2020-04-18,Meghalaya,11,0,1,17,10,WK 15-2020,Apr-2020,2020
2020-04-18,Mizoram,1,0,0,15,1,WK 15-2020,Apr-2020,2020
2020-04-18,Nagaland,0,0,0,13,0,WK 15-2020,Apr-2020,2020
